c50201_g1	UGT84A3	31.65	79	36	4	57	129	162	228	0.13	24.6
c56771_g2	UGT73B1	31.48	54	33	2	1	52	315	366	0.36	23.5
c115851_g1	UGT85A2	26.76	71	36	2	44	107	255	316	0.87	22.7
c109609_g1	UGT87A1	43.75	16	8	1	7	22	420	434	1.8	17.7
c17166_g1	UGT91B1	34.48	29	15	1	38	66	1	25	0.39	21.9
c55343_g1	UGT85A2	49.72	181	86	1	1	176	142	322	1e-64	202
c70363_g1	UGT85A4	25.64	78	57	1	566	642	251	328	0.11	28.1
c109823_g1	UGT76F2	30.77	26	17	1	1	25	324	349	0.78	20.0
c145126_g1	UGT74C1	42.31	26	13	1	126	149	336	361	0.26	23.9
c70169_g1	UGT73B5	19.57	46	37	0	209	254	407	452	0.41	24.6
c71603_g1	UGT73C3	43.64	346	173	6	1	327	153	495	3e-94	286
c99437_g1	UGT92A1	27.59	29	19	1	4	32	106	132	0.33	21.6
c103707_g1	UGT85A2	55.56	117	51	1	1	117	126	241	6e-45	147
c67422_g2	UGT73B2	33.33	21	14	0	3	23	253	273	0.61	19.2
c68694_g1	UGT89B1	27.60	366	221	11	8	346	1	349	2e-25	99.4
c73550_g1	UGT92A1	42.11	494	252	10	3	481	4	478	6e-121	360
c33090_g2	UGT71B2	30.00	70	41	4	59	126	313	376	0.27	24.3
c94231_g1	UGT76C4	33.33	60	36	1	140	199	25	80	0.22	26.2
c69089_g2	UGT81A4	24.66	73	43	3	446	512	366	432	0.56	25.4
c69762_g1	UGT91A1	48.24	85	44	0	6	90	382	466	2e-19	76.3
c120283_g1	UGT73B1	33.33	18	12	0	15	32	376	393	0.97	18.5
c49907_g1	UGT73B4	59.09	44	18	0	38	81	441	484	4e-10	48.9
c70554_g1	UGT72E3	60.00	10	4	0	67	76	174	183	8.8	20.0
c70306_g1	UGT84A1	46.53	475	233	8	6	461	10	482	9e-146	423
c66682_g1	UGT87A1	31.71	41	24	1	81	117	205	245	0.86	23.5
c104452_g1	UGT79B5	27.42	62	32	2	10	71	223	271	0.070	23.5
c71022_g1	UGT88A1	54.97	191	78	2	1	191	280	462	1e-66	208
c72426_g1	UGT73B4	50.41	244	108	4	1	235	241	480	3e-75	233
c58787_g1	UGT73C2	33.33	54	33	1	2	52	341	394	1.1	23.9
c67797_g1	UGT76D1	28.36	67	45	1	391	457	77	140	0.064	28.1
c71364_g2	UGT85A3	61.08	483	183	3	1	479	1	482	0.0	619
c71364_g1	UGT85A2	61.84	477	177	4	8	483	7	479	0.0	637
